J,tau_sq,omega_sq,rho,P,f_c_val,bal,iteration,seed,PYL_ID
24,0.0025000000000000005,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606691,1
36,0.0025000000000000005,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606692,2
48,0.0025000000000000005,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606693,3
60,0.0025000000000000005,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606694,4
72,0.0025000000000000005,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606695,5
24,0.16000000000000003,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606696,6
36,0.16000000000000003,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606697,7
48,0.16000000000000003,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606698,8
60,0.16000000000000003,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606699,9
72,0.16000000000000003,0.0025000000000000005,0.2,0.05,P1,balanced_j,625,626606700,10
24,0.0025000000000000005,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606701,11
36,0.0025000000000000005,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606702,12
48,0.0025000000000000005,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606703,13
60,0.0025000000000000005,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606704,14
72,0.0025000000000000005,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606705,15
24,0.16000000000000003,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606706,16
36,0.16000000000000003,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606707,17
48,0.16000000000000003,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606708,18
60,0.16000000000000003,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606709,19
72,0.16000000000000003,0.04000000000000001,0.2,0.05,P1,balanced_j,625,626606710,20
24,0.0025000000000000005,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606711,21
36,0.0025000000000000005,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606712,22
48,0.0025000000000000005,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606713,23
60,0.0025000000000000005,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606714,24
72,0.0025000000000000005,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606715,25
24,0.16000000000000003,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606716,26
36,0.16000000000000003,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606717,27
48,0.16000000000000003,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606718,28
60,0.16000000000000003,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606719,29
72,0.16000000000000003,0.0025000000000000005,0.8,0.05,P1,balanced_j,625,626606720,30
24,0.0025000000000000005,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606721,31
36,0.0025000000000000005,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606722,32
48,0.0025000000000000005,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606723,33
60,0.0025000000000000005,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606724,34
72,0.0025000000000000005,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606725,35
24,0.16000000000000003,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606726,36
36,0.16000000000000003,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606727,37
48,0.16000000000000003,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606728,38
60,0.16000000000000003,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606729,39
72,0.16000000000000003,0.04000000000000001,0.8,0.05,P1,balanced_j,625,626606730,40
24,0.0025000000000000005,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606731,41
36,0.0025000000000000005,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606732,42
48,0.0025000000000000005,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606733,43
60,0.0025000000000000005,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606734,44
72,0.0025000000000000005,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606735,45
24,0.16000000000000003,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606736,46
36,0.16000000000000003,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606737,47
48,0.16000000000000003,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606738,48
60,0.16000000000000003,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606739,49
72,0.16000000000000003,0.0025000000000000005,0.2,0.2,P1,balanced_j,625,626606740,50
24,0.0025000000000000005,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606741,51
36,0.0025000000000000005,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606742,52
48,0.0025000000000000005,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606743,53
60,0.0025000000000000005,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606744,54
72,0.0025000000000000005,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606745,55
24,0.16000000000000003,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606746,56
36,0.16000000000000003,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606747,57
48,0.16000000000000003,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606748,58
60,0.16000000000000003,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606749,59
72,0.16000000000000003,0.04000000000000001,0.2,0.2,P1,balanced_j,625,626606750,60
24,0.0025000000000000005,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606751,61
36,0.0025000000000000005,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606752,62
48,0.0025000000000000005,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606753,63
60,0.0025000000000000005,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606754,64
72,0.0025000000000000005,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606755,65
24,0.16000000000000003,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606756,66
36,0.16000000000000003,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606757,67
48,0.16000000000000003,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606758,68
60,0.16000000000000003,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606759,69
72,0.16000000000000003,0.0025000000000000005,0.8,0.2,P1,balanced_j,625,626606760,70
24,0.0025000000000000005,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606761,71
36,0.0025000000000000005,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606762,72
48,0.0025000000000000005,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606763,73
60,0.0025000000000000005,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606764,74
72,0.0025000000000000005,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606765,75
24,0.16000000000000003,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606766,76
36,0.16000000000000003,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606767,77
48,0.16000000000000003,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606768,78
60,0.16000000000000003,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606769,79
72,0.16000000000000003,0.04000000000000001,0.8,0.2,P1,balanced_j,625,626606770,80
24,0.0025000000000000005,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606771,81
36,0.0025000000000000005,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606772,82
48,0.0025000000000000005,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606773,83
60,0.0025000000000000005,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606774,84
72,0.0025000000000000005,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606775,85
24,0.16000000000000003,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606776,86
36,0.16000000000000003,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606777,87
48,0.16000000000000003,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606778,88
60,0.16000000000000003,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606779,89
72,0.16000000000000003,0.0025000000000000005,0.2,0.4,P1,balanced_j,625,626606780,90
24,0.0025000000000000005,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606781,91
36,0.0025000000000000005,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606782,92
48,0.0025000000000000005,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606783,93
60,0.0025000000000000005,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606784,94
72,0.0025000000000000005,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606785,95
24,0.16000000000000003,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606786,96
36,0.16000000000000003,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606787,97
48,0.16000000000000003,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606788,98
60,0.16000000000000003,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606789,99
72,0.16000000000000003,0.04000000000000001,0.2,0.4,P1,balanced_j,625,626606790,100
24,0.0025000000000000005,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606791,101
36,0.0025000000000000005,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606792,102
48,0.0025000000000000005,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606793,103
60,0.0025000000000000005,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606794,104
72,0.0025000000000000005,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606795,105
24,0.16000000000000003,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606796,106
36,0.16000000000000003,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606797,107
48,0.16000000000000003,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606798,108
60,0.16000000000000003,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606799,109
72,0.16000000000000003,0.0025000000000000005,0.8,0.4,P1,balanced_j,625,626606800,110
24,0.0025000000000000005,0.04000000000000001,0.8,0.4,P1,balanced_j,625,626606801,111
36,0.0025000000000000005,0.04000000000000001,0.8,0.4,P1,balanced_j,625,626606802,112
48,0.0025000000000000005,0.04000000000000001,0.8,0.4,P1,balanced_j,625,626606803,113
